bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
86,0.85,0.86,1,133,18,8.06234168618902e-05,6.82040080303824e-05,0.541724194450376
87,0.86,0.87,1,134,18,0.000187560298589063,5.54194536811673e-05,0.771917399851769
88,0.87,0.88,1,133,18,9.87528603914465e-05,7.76182723461102e-05,0.559915099816207
89,0.88,0.89,1,133,18,0.00014594142962302,6.98866462579748e-05,0.676192979190949
90,0.89,0.9,1,134,18,7.6899495205872e-05,6.58605675822158e-05,0.538662520203715
91,0.9,0.91,1,133,18,0.000118508650308631,5.76833778107258e-05,0.67261073939367
92,0.91,0.92,1,133,18,9.65576821474828e-05,7.75662913163229e-05,0.55453410708867
93,0.92,0.93,1,134,18,6.63215536330478e-05,6.2675893085034e-05,0.514130746928585
94,0.93,0.94,1,133,18,0.000195175716877904,0.000110128737939378,0.639282243669561
95,0.94,0.95,1,133,18,8.50386531764779e-05,6.69132792186601e-05,0.559641801430614
96,0.95,0.96,1,134,18,0.000213784506953085,7.16255680733063e-05,0.749043308766576
97,0.96,0.97,1,133,18,0.000144581873157035,7.19993898084621e-05,0.667564087388612
98,0.97,0.98,1,133,18,0.000290188972250018,0.000103521421048053,0.737062005956041
99,0.98,0.99,1,134,18,8.3761210660673e-05,0.000120599240271793,0.409869963970442
100,0.99,1,1,133,18,0.00025024652415806,8.27623130069054e-05,0.751471120972364
101,1,1.01,1,133,18,1.11166820707968e-05,7.90580043868583e-05,0.123279409194475
102,1.01,1.02,1,134,18,0.000268260933556289,5.40688079175575e-05,0.832256224106628
103,1.02,1.03,1,133,18,8.53452016818479e-05,7.00193150205725e-05,0.549322351675158
104,1.03,1.04,1,133,18,0.000155113529301036,9.34698438378086e-05,0.623989960963311
105,1.04,1.05,1,133,18,0.000136786775099922,6.64054854817107e-05,0.673188903496488
106,1.05,1.06,1,134,18,0.000205360228981878,6.90089157764011e-05,0.74848149985233
107,1.06,1.07,1,133,18,9.45933653191636e-05,8.50623932920133e-05,0.526525651336838
108,1.07,1.08,1,134,18,0.000223810952133857,9.32957248471986e-05,0.705790727160336
109,1.08,1.09,1,133,18,9.85127634950805e-05,7.61269263759129e-05,0.564091493565134
110,1.09,1.1,1,133,18,0.000165669796515423,5.67860935765421e-05,0.744730995645625
111,1.1,1.11,1,133,18,0.000122262908029168,6.77472154000554e-05,0.643454705584197
112,1.11,1.12,1,134,18,0.000164324859441105,7.94130617031886e-05,0.674186678337279
113,1.12,1.13,1,133,18,0.000171632997169255,9.51556086097632e-05,0.643329563000225
114,1.13,1.14,1,134,18,2.59288376883208e-05,9.19471509184052e-05,0.219967085704181
115,1.14,1.15,1,133,18,0.000204863363060572,4.90712729253866e-05,0.806756283029858
116,1.15,1.16,1,133,18,9.70689025284648e-05,5.13464219244328e-05,0.654035578106838
117,1.16,1.17,1,134,18,0.000111650244085999,6.5442149801029e-05,0.630463238061053
118,1.17,1.18,1,133,18,0.000102219427541642,5.26317133704614e-05,0.660114138904949
119,1.18,1.19,1,133,18,7.4931513916189e-05,5.86812590545427e-05,0.560811008185595
120,1.19,1.2,1,133,18,0.000204543730152542,6.01503935673193e-05,0.772755085296191
121,1.2,1.21,1,134,18,5.94030651750899e-05,7.80567601846713e-05,0.432148557002889
122,1.21,1.22,1,133,18,6.95199708906912e-05,7.38846389645923e-05,0.48478198128252
123,1.22,1.23,1,133,18,8.04471832510704e-05,6.58165460644859e-05,0.550014577281219
124,1.23,1.24,1,134,18,0.000106839551435845,7.20584365721703e-05,0.597209351684035
125,1.24,1.25,1,211,18,0.000122315709249515,9.46422215272894e-05,0.563776160712685
126,0,0.01,-1,212,18,0.000284720964827958,7.23270500911625e-05,0.797430465738491
127,0.01,0.02,-1,133,18,1.12944556065902e-05,0.000115994165464,0.0887310704727223
128,0.02,0.03,-1,133,18,7.95439053157278e-05,6.75597025784017e-05,0.540733884467168
129,0.03,0.04,-1,133,18,9.13494845868907e-05,9.87590127209297e-05,0.480512369938831
130,0.04,0.05,-1,134,18,9.94157431367295e-05,5.40978705415709e-05,0.647602129574403
131,0.05,0.06,-1,133,18,0.000193277691521333,4.04915003001432e-05,0.826788551628028
132,0.06,0.07,-1,133,18,0.000121046074752005,4.30618758708839e-05,0.737600306947725
133,0.07,0.08,-1,134,18,0.000409847497877827,5.49911656986515e-05,0.881698382669917
134,0.08,0.09,-1,133,18,0.000192183498978336,6.29027996129879e-05,0.753405808307388
135,0.09,0.1,-1,134,18,0.000197345540431251,8.86557729967399e-05,0.69001620330299
