bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
122,1.21,1.22,1,133,10,0.00194975865695499,9.0680876626943e-05,0.955558165221512
123,1.22,1.23,1,133,10,0.00229351005819796,0.000119782082176659,0.950365693331241
124,1.23,1.24,1,134,10,0.0019930015794359,9.33127347240908e-05,0.955273884624781
125,1.24,1.25,1,211,10,0.00193595946312162,0.000190055445354322,0.910604838848206
126,0,0.01,-1,212,10,0.00171647414687656,0.000111924091434236,0.938785714682355
127,0.01,0.02,-1,133,10,0.00301155706665698,0.000122458754612908,0.960925929670869
128,0.02,0.03,-1,133,10,0.00189656155503166,0.000165078414553287,0.919928592291252
129,0.03,0.04,-1,133,10,0.00300408774623242,9.2302255029525e-05,0.970190365234384
130,0.04,0.05,-1,134,10,0.00228923236399019,0.000130432884479277,0.946094657282952
131,0.05,0.06,-1,133,10,0.00156001175964574,0.000170876874466518,0.901277949892971
132,0.06,0.07,-1,133,10,0.0038669311094835,0.000198788303556836,0.951106241390086
133,0.07,0.08,-1,134,10,0.00119064410805324,0.000177770525263713,0.870090160587651
134,0.08,0.09,-1,133,10,0.0030504291147281,0.000119237532421995,0.96238168056909
135,0.09,0.1,-1,134,10,0.00147876524473568,6.98484029933761e-05,0.954896172395352
136,0.1,0.11,-1,133,10,0.0024421569746145,0.000128738586793301,0.949924614315019
137,0.11,0.12,-1,133,10,0.00136151131321139,0.000256393737581052,0.841527327295585
138,0.12,0.13,-1,134,10,0.00310344435815252,0.000139561811637259,0.95696529567617
139,0.13,0.14,-1,133,10,0.00226198087677324,0.000181783200292079,0.92561344116721
140,0.14,0.15,-1,133,10,0.002441030790032,0.000134831971806442,0.947655607354559
141,0.15,0.16,-1,134,10,0.00297982398081288,0.000154982396195543,0.950560775513209
142,0.16,0.17,-1,133,10,0.00204148987733049,0.00021502143186043,0.904710678388966
143,0.17,0.18,-1,133,10,0.00144663560672509,0.000109800849572163,0.929453689466143
144,0.18,0.19,-1,133,10,0.00274991940706258,0.000130472881151028,0.954703086213321
145,0.19,0.2,-1,134,10,0.0049616658547599,0.000118135713020482,0.976744029969639
146,0.2,0.21,-1,133,10,0.00244916838608493,0.00015601962526645,0.940111951772142
147,0.21,0.22,-1,134,10,0.00244974986193457,0.000192793134254535,0.927042574318538
148,0.22,0.23,-1,133,10,0.00115793931216955,0.000127879273660997,0.900546410613286
149,0.23,0.24,-1,133,10,0.00232412531188406,0.000143835833328322,0.941718761007502
150,0.24,0.25,-1,134,10,0.00444252052889692,9.84872936478516e-05,0.978311578068884
151,0.25,0.26,-1,133,10,0.0032623977423057,0.000182957476081621,0.946897354703746
152,0.26,0.27,-1,133,10,0.00328495075224852,0.000157326330604683,0.954295855093025
153,0.27,0.28,-1,134,10,0.00412318964728996,0.000171089812906033,0.960158668178939
154,0.28,0.29,-1,133,10,0.00147913392552931,0.000106173687069502,0.933026444693942
155,0.29,0.3,-1,133,10,0.00343157066158767,0.000118399703970341,0.966647692296516
156,0.3,0.31,-1,134,10,0.00510247005694097,0.000159674054233299,0.969656084884823
157,0.31,0.32,-1,133,10,0.00348213007813375,0.000102140055014912,0.971503248577644
158,0.32,0.33,-1,133,10,0.00254643383224039,0.000113935628815303,0.957173005297508
159,0.33,0.34,-1,133,10,0.00377469658565155,0.000140465940981771,0.964122577280959
160,0.34,0.35,-1,134,10,0.00108111465684668,0.000126932848366738,0.894927270807688
161,0.35,0.36,-1,133,10,0.00377561566991596,0.000236820501232545,0.940978375447962
162,0.36,0.37,-1,134,10,0.00250438714258873,0.000172253535945733,0.935645625755024
163,0.37,0.38,-1,133,10,0.00262121256516178,0.000123109450419755,0.955140304337184
164,0.38,0.39,-1,133,10,0.0014133130847791,0.000115523026597566,0.924437272420559
165,0.39,0.4,-1,134,10,0.00215354507410041,0.000117657507146955,0.948195943365679
166,0.4,0.41,-1,133,10,0.00376581028044133,0.000114153125224655,0.970578813950164
167,0.41,0.42,-1,133,10,0.00280425837346525,0.0001139809326274,0.960941882871143
168,0.42,0.43,-1,134,10,0.00199908378508335,0.000102167148782369,0.951377940094756
169,0.43,0.44,-1,133,10,0.00242143159228949,0.00012212460676081,0.951986668583769
170,0.44,0.45,-1,133,10,0.00240966323834546,0.000133916723494308,0.947351085673184
171,0.45,0.46,-1,133,10,0.00203481490226492,0.000137696104667059,0.936618915058335
172,0.46,0.47,-1,134,10,0.00259578580538371,0.000120014392072427,0.955808828578463
173,0.47,0.48,-1,133,10,0.00180822404465376,7.55594984211866e-05,0.959889500734331
174,0.48,0.49,-1,133,10,0.00278078745518897,9.78716351088834e-05,0.966000963629647
175,0.49,0.5,-1,134,10,0.00122774762773914,9.72793578277358e-05,0.926583111976306
176,0.5,0.51,-1,133,10,0.0026012565167161,0.000100351758239851,0.962854807941582
177,0.51,0.52,-1,134,10,0.00353888737483894,0.00014769926751165,0.959936037901587
178,0.52,0.53,-1,133,10,0.00181104125855868,0.000100330910684511,0.947508438022179
